direction,destination,destination_code,origin,origin_code,coverage,data_type,both_1990,male_1990,female_1990,both_1995,male_1995,female_1995,both_2000,male_2000,female_2000,both_2005,male_2005,female_2005,both_2010,male_2010,female_2010,both_2015,male_2015,female_2015,both_2020,male_2020,female_2020,both_2024,male_2024,female_2024
poles_abroad,Latvia,428,Poland,616,,B,30550,11857,18693,16038,6218,9820,1526,579,947,1397,586,811,1233,566,667,832,372,460,767,342,425,706,315,391
poles_abroad,Lithuania,440,Poland,616,,B,4372,1855,2517,4890,2086,2804,3830,1630,2200,3467,1491,1976,2633,1048,1585,2167,848,1319,1900,846,1054,2002,891,1111
poles_abroad,Norway*,578,Poland,616,,B,4367,1982,2385,5157,1919,3238,5738,1975,3763,8224,3357,4867,49005,32174,16831,90350,58750,31600,100479,63466,37013,111728,70571,41157
poles_abroad,Sweden,752,Poland,616,,B R,35078,10103,24975,39056,12370,26686,40019,13772,26247,44907,15938,28969,68952,29353,39599,83640,37438,46202,93744,44363,49381,102889,51984,50905
poles_abroad,United Kingdom*,826,Poland,616,14,B R,74813,43296,31517,67979,36102,31877,61534,29400,32134,165337,79592,85745,558210,275989,282221,728332,369650,358682,826408,430178,396230,902193,479003,423190
poles_abroad,Southern Europe,925,Poland,616,,,44779,16087,28692,47962,16949,31013,60200,20813,39387,119698,43519,76179,189987,67147,122840,184511,57338,127173,171700,50044,121656,165415,47635,117780
poles_abroad,Croatia,191,Poland,616,,B,655,114,541,660,111,549,595,103,492,664,126,538,732,148,584,737,148,589,691,140,551,658,133,525
poles_abroad,Greece,300,Poland,616,,B,29946,12030,17916,22454,9400,13054,15330,6687,8643,15669,6230,9439,16587,5957,10630,15630,5213,10417,15975,6026,9949,16970,6401,10569
poles_abroad,Italy,380,Poland,616,,B R,11101,2668,8433,18500,4555,13945,29927,7379,22548,59703,14903,44800,97281,23198,74083,107229,24876,82353,101568,22788,78780,92115,19652,72463
poles_abroad,Malta,470,Poland,616,,B,20,7,13,24,9,15,61,23,38,97,36,61,203,69,134,344,132,212,749,325,424,1302,565,737
poles_abroad,Montenegro,499,Poland,616,,B,95,70,25,95,70,25,95,70,25,95,70,25,94,68,26,98,71,27,97,72,25,96,71,25
poles_abroad,North Macedonia,807,Poland,616,,B,101,42,59,94,39,55,88,37,51,90,38,52,93,39,54,100,42,58,99,42,57,99,42,57
poles_abroad,Portugal,620,Poland,616,,B,104,50,54,224,106,118,355,168,187,661,226,435,859,248,611,974,246,728,1116,308,808,1255,346,909
poles_abroad,San Marino,674,Poland,616,,C,18,2,16,19,2,17,22,2,20,23,3,20,25,3,22,31,3,28,32,2,30,34,2,32
